title,year,journal,authors,doi,labels
LOW COST TELEMONITORING TECHNOLOGY OF SEMISPHERICAL SOLAR DRYER FOR DRYING ARABICA COFFEE BEANS,2022,INMATEH - Agricultural Engineering,"Pramono, E.K. and Karim, M.A. and Fudholi, A. and Bulan, R. and Lapcharoensuk, R. and Sitorus, A.",10.35633/inmateh-66-34,dryer_design
LOW COST TELEMONITORING TECHNOLOGY OF SEMISPHERICAL SOLAR DRYER FOR DRYING ARABICA COFFEE BEANS,2022,INMATEH - Agricultural Engineering,"Pramono, E.K. and Karim, M.A. and Fudholi, A. and Bulan, R. and Lapcharoensuk, R. and Sitorus, A.",10.35633/inmateh-66-34,coffee_drying_stage
Investigating the Performance and Optimization of Solar Coffee Drying Technologies—A Systematic Review,2025,Journal of Food Processing and Preservation,"Meja, E.M. and Dubbe, S.K. and Bekele, A. and Wolde, K.F. and Adaramola, M.S.",10.1155/jfpp/7907660,solar_drying
Investigating the Performance and Optimization of Solar Coffee Drying Technologies—A Systematic Review,2025,Journal of Food Processing and Preservation,"Meja, E.M. and Dubbe, S.K. and Bekele, A. and Wolde, K.F. and Adaramola, M.S.",10.1155/jfpp/7907660,coffee_quality
Investigating the Performance and Optimization of Solar Coffee Drying Technologies—A Systematic Review,2025,Journal of Food Processing and Preservation,"Meja, E.M. and Dubbe, S.K. and Bekele, A. and Wolde, K.F. and Adaramola, M.S.",10.1155/jfpp/7907660,coffee_drying_stage
Physical and sensory quality of coffee dried in three prototypes of greenhouse solar dryers,2024,Revista de la Facultad de Agronomia,"de Jesús Huamán-Murillo, M. and Garcia, S.M.M. and Murillo-Baca, S.M. and Ponce-Rosas, F.C. and Fuentes-Meza, M.J.",10.47280/RevFacAgron(LUZ).v41.n2.02,solar_drying
Physical and sensory quality of coffee dried in three prototypes of greenhouse solar dryers,2024,Revista de la Facultad de Agronomia,"de Jesús Huamán-Murillo, M. and Garcia, S.M.M. and Murillo-Baca, S.M. and Ponce-Rosas, F.C. and Fuentes-Meza, M.J.",10.47280/RevFacAgron(LUZ).v41.n2.02,coffee_quality
Physical and sensory quality of coffee dried in three prototypes of greenhouse solar dryers,2024,Revista de la Facultad de Agronomia,"de Jesús Huamán-Murillo, M. and Garcia, S.M.M. and Murillo-Baca, S.M. and Ponce-Rosas, F.C. and Fuentes-Meza, M.J.",10.47280/RevFacAgron(LUZ).v41.n2.02,coffee_drying_stage
Performance evaluation of diminutive solar dryer for drying of green coffee beans: In Ethiopian highlands,2025,Case Studies in Thermal Engineering,"Kebede, A.Y. and Tigabu, M.T. and Admase, A.T. and Bezie, A.J.",10.1016/j.csite.2024.105653,solar_drying
Performance evaluation of diminutive solar dryer for drying of green coffee beans: In Ethiopian highlands,2025,Case Studies in Thermal Engineering,"Kebede, A.Y. and Tigabu, M.T. and Admase, A.T. and Bezie, A.J.",10.1016/j.csite.2024.105653,coffee_drying_stage
