title,year,journal,authors,doi,labels
Recycling leather buffing dust into activated carbon for efficient turbidity removal from tannery wastewater,2025,Next Materials,"Mohsin, M. and Karim, M.S. and Noyon, M.A.R. and Farhana Yeasmin, M. and Ali, M.M. and Elias Uddin, M.",10.1016/j.nxmate.2025.101022,Tipo de valorización: Valorización térmica
Recycling leather buffing dust into activated carbon for efficient turbidity removal from tannery wastewater,2025,Next Materials,"Mohsin, M. and Karim, M.S. and Noyon, M.A.R. and Farhana Yeasmin, M. and Ali, M.M. and Elias Uddin, M.",10.1016/j.nxmate.2025.101022,Tipo de valorización: Aplicaciones ambientales
Analysis of the Influence of the Grinding Method of Chromium Leather Shavings on the Mechanical Properties of Composite Leather/Latex Materials,2025,Journal of the Society of Leather Technologists and Chemists,"Ma, Y. and Xin, D.",,Producto: Materiale
Analysis of the Influence of the Grinding Method of Chromium Leather Shavings on the Mechanical Properties of Composite Leather/Latex Materials,2025,Journal of the Society of Leather Technologists and Chemists,"Ma, Y. and Xin, D.",,Residuos: Residuos sólidos
Analysis of the Influence of the Grinding Method of Chromium Leather Shavings on the Mechanical Properties of Composite Leather/Latex Materials,2025,Journal of the Society of Leather Technologists and Chemists,"Ma, Y. and Xin, D.",,Residuos: Residuos con cromo
Analysis of the Influence of the Grinding Method of Chromium Leather Shavings on the Mechanical Properties of Composite Leather/Latex Materials,2025,Journal of the Society of Leather Technologists and Chemists,"Ma, Y. and Xin, D.",,Tipo de valorización: Reutilización directa
Experimental Study on Chrome Tanned Leather Shavings Modification—Properties and Prospective for Future Application,2024,Processes,"Gendaszewska, D. and Pipiak, P. and Wieczorek, D. and Sieczyńska, K.",10.3390/pr12010228,Producto: Materiale
Experimental Study on Chrome Tanned Leather Shavings Modification—Properties and Prospective for Future Application,2024,Processes,"Gendaszewska, D. and Pipiak, P. and Wieczorek, D. and Sieczyńska, K.",10.3390/pr12010228,Residuos: Residuos sólidos
Experimental Study on Chrome Tanned Leather Shavings Modification—Properties and Prospective for Future Application,2024,Processes,"Gendaszewska, D. and Pipiak, P. and Wieczorek, D. and Sieczyńska, K.",10.3390/pr12010228,Residuos: Residuos con cromo
Experimental Study on Chrome Tanned Leather Shavings Modification—Properties and Prospective for Future Application,2024,Processes,"Gendaszewska, D. and Pipiak, P. and Wieczorek, D. and Sieczyńska, K.",10.3390/pr12010228,Tipo de valorización: Valorización química
Biotransformation of bovine tannery fleshing into utilizable product with multifunctionalities,2021,Biocatalysis and Biotransformation,"Thazeem, B. and Umesh, M. and Mani, V.M. and Beryl, G.P. and Preethi, K.",10.1080/10242422.2020.1786071,Residuos: Residuos sólidos
Biotransformation of bovine tannery fleshing into utilizable product with multifunctionalities,2021,Biocatalysis and Biotransformation,"Thazeem, B. and Umesh, M. and Mani, V.M. and Beryl, G.P. and Preethi, K.",10.1080/10242422.2020.1786071,Residuos: Residuos sin cromo
